2026-05-30 10:17:31,858 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:31,870 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:31,965 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:31,984 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:31,984 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:32,009 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:32,091 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:32,109 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:32,111 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:32,137 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:32,224 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:32,238 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:32,246 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:32,267 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:32,355 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:32,371 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:32,375 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:32,404 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:32,486 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:32,502 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:32,502 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:32,533 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:32,612 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:32,631 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:32,654 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:32,679 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:32,764 | CAMERA_MANAGER | INFO | Sending frame from c3
