2026-05-30 11:12:50,135 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,144 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,151 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,173 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,180 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,188 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,209 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,220 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,235 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,254 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,265 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,277 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,303 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,311 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,332 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,342 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,350 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,368 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,385 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,409 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,415 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,431 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,436 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,452 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,470 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,478 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,485 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,508 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,519 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,538 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,555 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,573 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,586 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,610 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,612 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,645 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,656 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,673 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,681 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,700 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,708 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,725 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,731 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,750 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,758 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,771 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,779 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,787 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,809 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,809 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,834 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,839 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,863 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,887 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,896 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,903 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,919 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,929 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,949 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,981 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,004 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,011 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,042 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,049 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,075 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,087 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,110 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,126 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,131 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,142 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,158 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,169 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,190 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,199 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,206 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,269 | ROI | INFO | Saved To Redis : fire_smoke_frames
